t,x
6.1430702748, -1.1638566443
6.1440127526, -1.1649897593
6.1449552304, -1.1661229974
6.1458977082, -1.1672563579
6.1468401860, -1.1683898400
6.1477826638, -1.1695234429
6.1487251416, -1.1706571656
6.1496676194, -1.1717910074
6.1506100972, -1.1729249675
6.1515525750, -1.1740590450
6.1524950528, -1.1751932390
6.1534375306, -1.1763275489
6.1543800084, -1.1774619736
6.1553224862, -1.1785965125
6.1562649640, -1.1797311646
6.1572074418, -1.1808659291
6.1581499196, -1.1820008053
6.1590923974, -1.1831357922
6.1600348752, -1.1842708891
6.1609773530, -1.1854060951
6.1619198308, -1.1865414094
6.1628623085, -1.1876768311
6.1638047863, -1.1888123595
6.1647472641, -1.1899479936
6.1656897419, -1.1910837327
6.1666322197, -1.1922195759
6.1675746975, -1.1933555224
6.1685171753, -1.1944915714
6.1694596531, -1.1956277220
6.1704021309, -1.1967639735
6.1713446087, -1.1979003248
6.1722870865, -1.1990367754
6.1732295643, -1.2001733242
6.1741720421, -1.2013099705
6.1751145199, -1.2024467134
6.1760569977, -1.2035835522
6.1769994755, -1.2047204859
6.1779419533, -1.2058575138
6.1788844311, -1.2069946350
6.1798269089, -1.2081318486
6.1807693867, -1.2092691539
6.1817118645, -1.2104065501
6.1826543423, -1.2115440362
6.1835968201, -1.2126816114
6.1845392979, -1.2138192750
6.1854817757, -1.2149570260
6.1864242534, -1.2160948637
6.1873667312, -1.2172327872
6.1883092090, -1.2183707957
6.1892516868, -1.2195088884
6.1901941646, -1.2206470643
6.1911366424, -1.2217853228
6.1920791202, -1.2229236629
6.1930215980, -1.2240620838
6.1939640758, -1.2252005846
6.1949065536, -1.2263391647
6.1958490314, -1.2274778230
6.1967915092, -1.2286165588
6.1977339870, -1.2297553713
6.1986764648, -1.2308942596
6.1996189426, -1.2320332228
6.2005614204, -1.2331722602
6.2015038982, -1.2343113709
6.2024463760, -1.2354505541
6.2033888538, -1.2365898089
6.2043313316, -1.2377291346
6.2052738094, -1.2388685302
6.2062162872, -1.2400079949
6.2071587650, -1.2411475279
6.2081012428, -1.2422871284
6.2090437206, -1.2434267955
6.2099861984, -1.2445665285
6.2109286761, -1.2457063264
6.2118711539, -1.2468461884
